0.255,194.6
0.26,175.3
0.265,190.5
0.27,185.6
0.275,167.1
0.28,189.7
0.285,179.1
0.29,189.8
0.295,148.3
0.3,147.1
0.305,185.4
0.31,186.4
0.315,186.4
0.32,177.2
0.325,176.8
0.33,180.4
0.335,176.9
0.34,179.6
0.345,177.0
0.35,180.6
0.355,178.2
0.36,175.6
0.365,178.8
0.37,182.7
0.375,178.5
0.38,174.6
0.385,179.4
0.39,177.2
0.395,176.1
0.4,179.6
0.405,177.2
0.41,177.1
0.415,183.3
0.42,174.6
0.425,180.1
0.43,177.0
0.435,182.4
0.44,179.7
0.445,177.8
0.45,177.4
0.455,179.0
0.46,178.5
0.465,181.3
0.47,180.2
0.475,180.0
0.48,177.8
0.485,177.9
0.49,181.2
0.495,180.5
0.5,170.2
